size,price
74,8609
97,9405
15,8412
84,3477
45,9866
33,2320
76,1946
37,5716
99,7158
98,7823
12,3076
64,8988
31,4294
7,3682
20,9581
17,3051
18,9654
29,5601
69,3242
76,1607
64,6343
99,8082
28,5408
27,8457
9,8934
7,4349
19,4016
76,9629
71,6581
71,6571
85,3645
78,3141
77,5083
74,8820
19,2939
7,1987
36,6649
85,7213
76,4238
60,7274
19,2268
9,2763
56,6470
16,7435
98,4293
95,9672
87,1491
23,3689
82,1270
100,4438
71,8178
24,2934
35,9367
87,5827
54,9360
23,7062
32,2991
27,5046
85,1574
37,9419
83,4948
45,9152
76,3056
71,6895
32,4779
67,8482
29,7394
21,4773
30,7141
10,2393
51,1159
60,3443
41,6986
44,2354
59,5451
76,2939
82,2506
36,5250
100,2126
39,2479
48,9468
79,9059
65,3137
79,4021
75,2779
30,8229
14,8178
5,9803
42,7036
93,9746
38,5804
3,1011
88,4595
38,2370
12,8812
82,9822
85,9277
66,2285
56,4988
64,4245
